variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Problem waking up during night,2,3,Moderate,Severe,3459,2774,4633667.0,-0.0341764365886261,-0.0341764365886261,-0.06374933222278568,-0.008651568387994673,"[-0.06374933222278568, -0.008651568387994673]",0.016980665383324163,0.033961330766648326
Falling asleep thought,0,1,Normal,Mild,6703,6878,24605825.5,0.06742297080504157,0.06742297080504157,0.05181824283736798,0.08333126641397867,"[0.05181824283736798, 0.08333126641397867]",3.3890465193192087e-12,1.0167139557957627e-11
Falling asleep thought,1,2,Mild,Moderate,6878,3538,12740823.0,0.04714657839424116,0.04714657839424116,0.024845701740961876,0.06854411214527734,"[0.024845701740961876, 0.06854411214527734]",5.386403514558103e-05,0.00010772807029116206
Falling asleep thought,2,3,Moderate,Severe,3538,2800,5122443.0,0.03416841637729145,0.03416841637729145,0.006850745477671001,0.05992448063877896,"[0.006850745477671001, 0.05992448063877896]",0.016623879229691708,0.016623879229691708
Problem not feeling rested,0,1,Normal,Mild,6615,6781,24660752.5,0.09954428936037212,0.09954428936037212,0.07956804186879819,0.11667878480432463,"[0.07956804186879819, 0.11667878480432463]",6.995153006736105e-25,2.0985459020208315e-24
Problem not feeling rested,1,2,Mild,Moderate,6781,3474,12230263.5,0.03834637520920361,0.03834637520920361,0.011111465567588397,0.06358719442561792,"[0.011111465567588397, 0.06358719442561792]",0.0010654826531870853,0.0021309653063741707
Problem not feeling rested,2,3,Moderate,Severe,3474,2764,4848076.5,0.009791258944884763,0.009791258944884763,-0.013757243700776578,0.0344907711159267,"[-0.013757243700776578, 0.0344907711159267]",0.4945089000310564,0.4945089000310564
Falling asleep depressed,0,1,Normal,Mild,6691,6865,24203059.0,0.05382545261144238,0.05382545261144238,0.0353278066013167,0.07097276477637394,"[0.0353278066013167, 0.07097276477637394]",1.0256493105076597e-08,3.076947931522979e-08
Falling asleep depressed,1,2,Mild,Moderate,6865,3520,12640666.0,0.04620489306760246,0.04620489306760246,0.02842228261769185,0.06348377288452624,"[0.02842228261769185, 0.06348377288452624]",3.838030657493328e-05,7.676061314986656e-05
Falling asleep depressed,2,3,Moderate,Severe,3520,2792,4888903.5,-0.005090945721542069,-0.005090945721542069,-0.027196815373469654,0.016503641695428478,"[-0.027196815373469654, 0.016503641695428478]",0.708397986026672,0.708397986026672
Problem with tiredness,0,1,Normal,Mild,6574,6742,23782367.0,0.0731653068726193,0.0731653068726193,0.05611740360997094,0.08931143826208925,"[0.05611740360997094, 0.08931143826208925]",5.154438260021391e-14,1.5463314780064173e-13
Problem with tiredness,1,2,Mild,Moderate,6742,3453,11990115.5,0.030073076064966314,0.030073076064966314,0.009079915417983564,0.05131911012852764,"[0.009079915417983564, 0.05131911012852764]",0.010445901911001249,0.020891803822002498
Problem with tiredness,2,3,Moderate,Severe,3453,2760,4876164.5,0.023299315445086607,0.023299315445086607,-0.002354248773383363,0.05087896158350016,"[-0.002354248773383363, 0.05087896158350016]",0.10417258736481624,0.10417258736481624
Falling asleep worry,0,1,Normal,Mild,6694,6875,24739752.5,0.0751447429176739,0.0751447429176739,0.0589115788901866,0.09451823668414047,"[0.0589115788901866, 0.09451823668414047]",8.04951922272025e-15,2.414855766816075e-14
Falling asleep worry,1,2,Mild,Moderate,6875,3533,12782591.5,0.052525353163677534,0.052525353163677534,0.03186988858297095,0.07584292823508221,"[0.03186988858297095, 0.07584292823508221]",6.39082219879405e-06,1.27816443975881e-05
Falling asleep worry,2,3,Moderate,Severe,3533,2792,5069081.5,0.027780131985203772,0.027780131985203772,-0.00038647074614543014,0.05335347414107024,"[-0.00038647074614543014, 0.05335347414107024]",0.05045358723210451,0.05045358723210451
Problem with sleepiness,0,1,Normal,Mild,6357,6498,22055815.0,0.06787688887513846,0.06787688887513846,0.04490999832331852,0.08745882192766273,"[0.04490999832331852, 0.08745882192766273]",8.33394120861661e-12,2.500182362584983e-11
