variable,group1_code,group2_code,group1,group2,n1,n2,U_stat,cliffs_delta,rank_biserial,ci_95%_lower,ci_95%_upper,ci,p_value,p_adj
Sleep thirst,2,3,Moderate,Severe,4840,3889,9272341.0,-0.014773497616715084,-0.014773497616715084,-0.036738530906200786,0.004219895222592212,"[-0.036738530906200786, 0.004219895222592212]",0.19321532762609384,0.38643065525218767
Sleep leg cramps,0,1,Normal,Mild,10462,9554,46451170.0,-0.07054856902700832,-0.07054856902700832,-0.08426645463768975,-0.05697250347730137,"[-0.08426645463768975, -0.05697250347730137]",2.3348169172259606e-25,7.004450751677882e-25
Sleep leg cramps,1,2,Mild,Moderate,9554,4840,23006020.5,-0.00495917507616558,-0.00495917507616558,-0.024661452431329875,0.012223813810839467,"[-0.024661452431329875, 0.012223813810839467]",0.5707728165453887,0.5707728165453887
Sleep leg cramps,2,3,Moderate,Severe,4840,3889,9589004.5,0.018873374574185718,0.018873374574185718,-0.005237060080455789,0.04124268837301224,"[-0.005237060080455789, 0.04124268837301224]",0.07623374132882763,0.15246748265765525
Sleep urinate,0,1,Normal,Mild,10462,9554,45031449.0,-0.09895607124993201,-0.09895607124993201,-0.11208319830448318,-0.08394990335949512,"[-0.11208319830448318, -0.08394990335949512]",6.46434939351422e-38,1.939304818054266e-37
Sleep urinate,1,2,Mild,Moderate,9554,4840,22604746.5,-0.022314806484930373,-0.022314806484930373,-0.039512564076835115,-0.003115031651318219,"[-0.039512564076835115, -0.003115031651318219]",0.02188679233401881,0.04377358466803762
Sleep urinate,2,3,Moderate,Severe,4840,3889,9272080.5,-0.014801176873104688,-0.014801176873104688,-0.03424131211363265,0.010091573977461264,"[-0.03424131211363265, 0.010091573977461264]",0.21403543385183033,0.21403543385183033
Sleep parasthesia,0,1,Normal,Mild,10462,9554,48168004.5,-0.036196059009094866,-0.036196059009094866,-0.04690758788237159,-0.024190964673051235,"[-0.04690758788237159, -0.024190964673051235]",7.253177915640781e-09,2.1759533746922343e-08
Sleep parasthesia,1,2,Mild,Moderate,9554,4840,23372767.5,0.010903117901376604,0.010903117901376604,-0.005705994590124512,0.025787356816495015,"[-0.005705994590124512, 0.025787356816495015]",0.17127254379982093,0.17127254379982093
Sleep parasthesia,2,3,Moderate,Severe,4840,3889,9572524.5,0.01712230299913509,0.01712230299913509,-0.00026894169611682876,0.04046056741944324,"[-0.00026894169611682876, 0.04046056741944324]",0.0731460715916027,0.1462921431832054
Sleep heart pain,0,1,Normal,Mild,10462,9554,49341458.0,-0.01271617605339611,-0.01271617605339611,-0.022105218145060165,-0.006445695621747728,"[-0.022105218145060165, -0.006445695621747728]",0.0010634446726899096,0.003190334018069729
Sleep heart pain,1,2,Mild,Moderate,9554,4840,23212921.0,0.003989545290190427,0.003989545290190427,-0.0035993064434091037,0.012325918290465504,"[-0.0035993064434091037, 0.012325918290465504]",0.42334693542619894,0.8466938708523979
Sleep heart pain,2,3,Moderate,Severe,4840,3889,9421832.5,0.001110623521736451,0.001110623521736451,-0.0100655031461911,0.014431795602770262,"[-0.0100655031461911, 0.014431795602770262]",0.8526466738979909,0.8526466738979909
Sleep itch,0,1,Normal,Mild,10462,9554,48477417.5,-0.03000494787859705,-0.03000494787859705,-0.04181726893869165,-0.016772361257806446,"[-0.04181726893869165, -0.016772361257806446]",2.0979557240375595e-07,6.293867172112679e-07
Sleep itch,1,2,Mild,Moderate,9554,4840,23141739.0,0.0009108296122778396,0.0009108296122778396,-0.014391389007589742,0.013187008340585128,"[-0.014391389007589742, 0.013187008340585128]",0.9022105657142893,1.0
Sleep itch,2,3,Moderate,Severe,4840,3889,9436972.5,0.002719314276971071,0.002719314276971071,-0.01579953471223136,0.021911228746475008,"[-0.01579953471223136, 0.021911228746475008]",0.7635293229570184,1.0
Sleep chest pain,0,1,Normal,Mild,10462,9554,49635263.0,-0.006837368745054473,-0.006837368745054473,-0.016464215850683556,0.0017228163914045675,"[-0.016464215850683556, 0.0017228163914045675]",0.11451688280979239,0.34355064842937716
Sleep chest pain,1,2,Mild,Moderate,9554,4840,23267722.5,0.006359782670751898,0.006359782670751898,-0.003965506745476344,0.016690030310527196,"[-0.003965506745476344, 0.016690030310527196]",0.2421286600421091,0.4842573200842182
Sleep chest pain,2,3,Moderate,Severe,4840,3889,9444393.0,0.003507774630288013,0.003507774630288013,-0.008320559790381432,0.01621508615102142,"[-0.008320559790381432, 0.01621508615102142]",0.5880960404324662,0.5880960404324662
Sleep shortof breath,0,1,Normal,Mild,10462,9554,47786345.5,-0.04383275586072898,-0.04383275586072898,-0.05772596921334213,-0.03165160619768616,"[-0.05772596921334213, -0.03165160619768616]",3.766889061519531e-12,1.1300667184558593e-11
Sleep shortof breath,1,2,Mild,Moderate,9554,4840,23200583.0,0.0034559104663011643,0.0034559104663011643,-0.010265533388291347,0.020651336271251538,"[-0.010265533388291347, 0.020651336271251538]",0.6694169283849187,0.6694169283849187
Sleep shortof breath,2,3,Moderate,Severe,4840,3889,9101188.5,-0.03295919408205811,-0.03295919408205811,-0.05301096916711471,-0.014266316416933556,"[-0.05301096916711471, -0.014266316416933556]",0.0009917207253462054,0.0019834414506924108
Sleep asthma,0,1,Normal,Mild,10462,9554,49561986.0,-0.008303583966488247,-0.008303583966488247,-0.01761470317310528,0.0002163138668619633,"[-0.01761470317310528, 0.0002163138668619633]",0.0573770268908287,0.1147540537816574
Sleep asthma,1,2,Mild,Moderate,9554,4840,23243628.5,0.005317685292993112,0.005317685292993112,-0.003653015936382494,0.01541421846156773,"[-0.003653015936382494, 0.01541421846156773]",0.33417719251878575,0.33417719251878575
Sleep asthma,2,3,Moderate,Severe,4840,3889,9576218.0,0.01751475341554586,0.01751475341554586,0.005090553935767125,0.02912419060754107,"[0.005090553935767125, 0.02912419060754107]",0.006218178832827646,0.01865453649848294
Sleep indigestion,0,1,Normal,Mild,10462,9554,47572479.0,-0.048112056564288984,-0.048112056564288984,-0.061681410773289314,-0.03618699958704984,"[-0.061681410773289314, -0.03618699958704984]",2.2361193205775035e-12,6.708357961732511e-12
Sleep indigestion,1,2,Mild,Moderate,9554,4840,22811579.5,-0.01336900558288078,-0.01336900558288078,-0.032202959104143995,0.0037875799933219647,"[-0.032202959104143995, 0.0037875799933219647]",0.1269225999095937,0.2538451998191874
Sleep indigestion,2,3,Moderate,Severe,4840,3889,9479662.5,0.0072553121858855985,0.0072553121858855985,-0.009875293261987083,0.024614669952759315,"[-0.009875293261987083, 0.024614669952759315]",0.4988111939892925,0.4988111939892925
Sleep cough,0,1,Normal,Mild,10462,9554,48169406.5,-0.03616800609016464,-0.03616800609016464,-0.04663293064722166,-0.02531913746918731,"[-0.04663293064722166, -0.02531913746918731]",1.733781335953178e-10,5.201344007859534e-10
Sleep cough,1,2,Mild,Moderate,9554,4840,23030942.0,-0.003881287228576322,-0.003881287228576322,-0.01576081077632665,0.00871498913526764,"[-0.01576081077632665, 0.00871498913526764]",0.5970699444055361,1.0
Sleep cough,2,3,Moderate,Severe,4840,3889,9356667.0,-0.005813493876562204,-0.005813493876562204,-0.024832767617501365,0.012647333600385896,"[-0.024832767617501365, 0.012647333600385896]",0.5204054514122343,1.0
Sleep throat burn,0,1,Normal,Mild,10462,9554,47272556.5,-0.05411327024321241,-0.05411327024321241,-0.06350869602469329,-0.04074715362918932,"[-0.06350869602469329, -0.04074715362918932]",4.803348033858875e-20,1.4410044101576626e-19
Sleep throat burn,1,2,Mild,Moderate,9554,4840,23026869.5,-0.004057428241729915,-0.004057428241729915,-0.019006117575261626,0.010119928890499756,"[-0.019006117575261626, 0.010119928890499756]",0.5989338714335782,0.5989338714335782
Sleep throat burn,2,3,Moderate,Severe,4840,3889,9223986.5,-0.01991137325238169,-0.01991137325238169,-0.033771385014737476,-0.0039936930078266954,"[-0.033771385014737476, -0.0039936930078266954]",0.03730956911377513,0.07461913822755026
Sleep hunger,0,1,Normal,Mild,10462,9554,49092110.0,-0.017705433706330438,-0.017705433706330438,-0.030567762065786534,-0.006682135507043709,"[-0.030567762065786534, -0.006682135507043709]",0.0028234590098132704,0.008470377029439811
Sleep hunger,1,2,Mild,Moderate,9554,4840,23398870.5,0.012032107187158855,0.012032107187158855,-0.002783561621024987,0.02813505052619559,"[-0.002783561621024987, 0.02813505052619559]",0.10688261406525126,0.21376522813050253
Sleep hunger,2,3,Moderate,Severe,4840,3889,9407518.0,-0.00041035427323091834,-0.00041035427323091834,-0.018029978069103572,0.01588101851163165,"[-0.018029978069103572, 0.01588101851163165]",0.9635456780541387,0.9635456780541387
Sleep alert,0,1,Normal,Mild,10462,9554,45540932.5,-0.0887617065410963,-0.0887617065410963,-0.10324791973199497,-0.07386668733685238,"[-0.10324791973199497, -0.07386668733685238]",2.0866588396161443e-31,6.259976518848433e-31
Sleep alert,1,2,Mild,Moderate,9554,4840,22529362.5,-0.025575264222332562,-0.025575264222332562,-0.04348419250644877,-0.006645507939212866,"[-0.04348419250644877, -0.006645507939212866]",0.00790436820224553,0.01580873640449106
Sleep alert,2,3,Moderate,Severe,4840,3889,9605150.0,0.02058890407145392,0.02058890407145392,-0.001586575241888012,0.040362260901164314,"[-0.001586575241888012, 0.040362260901164314]",0.08002307749808091,0.08002307749808091
Too much sleep,0,1,Normal,Mild,6930,7069,24812288.0,0.01299101395296048,0.01299101395296048,0.006730997504091294,0.018926829171206017,"[0.006730997504091294, 0.018926829171206017]",0.0003328882603228149,0.0009986647809684447
Too much sleep,1,2,Mild,Moderate,7069,3657,12992431.5,0.005165304241758055,0.005165304241758055,-0.0021259542012785184,0.011689959082574192,"[-0.0021259542012785184, 0.011689959082574192]",0.19577227718579215,0.19577227718579215
Too much sleep,2,3,Moderate,Severe,3657,2882,5312547.0,0.008123745074943968,0.008123745074943968,0.0007744836222376942,0.01642375606220955,"[0.0007744836222376942, 0.01642375606220955]",0.06809515282629956,0.13619030565259913
Accident sleep mistake,0,1,Normal,Mild,6930,7069,24512709.0,0.0007603468347562279,0.0007603468347562279,-0.0024139583087100414,0.0038041607800413705,"[-0.0024139583087100414, 0.0038041607800413705]",0.6391423011678256,1.0
Accident sleep mistake,1,2,Mild,Moderate,7069,3657,12938304.5,0.000977744551896028,0.000977744551896028,-0.001887105782901021,0.003938398457054417,"[-0.001887105782901021, 0.003938398457054417]",0.60273144057086,1.0
Accident sleep mistake,2,3,Moderate,Severe,3657,2882,5287791.0,0.0034259774254388788,0.0034259774254388788,0.00015238900916687115,0.006974622262932664,"[0.00015238900916687115, 0.006974622262932664]",0.08515042208773729,0.2554512662632119
Sleep accident fatigue,0,1,Normal,Mild,6930,7069,24543427.0,0.0020144455283796067,0.0020144455283796067,-0.0004930312767347708,0.004524680652492223,"[-0.0004930312767347708, 0.004524680652492223]",0.17124765708549738,0.5137429712564922
Sleep accident fatigue,1,2,Mild,Moderate,7069,3657,12937326.5,0.0009020811421987407,0.0009020811421987407,-0.0028139912553058677,0.004409474745460899,"[-0.0028139912553058677, 0.004409474745460899]",0.5768989383224531,0.9847698734351935
Sleep accident fatigue,2,3,Moderate,Severe,3657,2882,5276219.0,0.00123004241008612,0.00123004241008612,-0.0015327188055115465,0.004149182397527618,"[-0.0015327188055115465, 0.004149182397527618]",0.49238493671759676,0.9847698734351935
Time in beed (weekday),0,1,Normal,Mild,6481,6624,21886598.0,0.019637763153088888,0.019637763153088888,-0.00320568689450471,0.04237160432073089,"[-0.00320568689450471, 0.04237160432073089]",0.04804041752690773,0.09608083505381546
Time in beed (weekday),1,2,Mild,Moderate,6624,3398,11240675.5,-0.0011995991532387622,-0.0011995991532387622,-0.023662333208579644,0.025226258235165253,"[-0.023662333208579644, 0.025226258235165253]",0.9203073350697158,0.9203073350697158
Time in beed (weekday),2,3,Moderate,Severe,3398,2685,4415269.5,-0.03212438470214158,-0.03212438470214158,-0.0631607046756609,-0.004219636263197873,"[-0.0631607046756609, -0.004219636263197873]",0.02854374215718167,0.08563122647154502
Time in bed (weekend),0,1,Normal,Mild,6183,6334,20637080.5,0.05390374648885245,0.05390374648885245,0.0388437648050633,0.07247050490509924,"[0.0388437648050633, 0.07247050490509924]",1.1707647599111616e-07,3.5122942797334847e-07
Time in bed (weekend),1,2,Mild,Moderate,6334,3201,10237629.0,0.00987041565298656,0.00987041565298656,-0.015338354853782963,0.03424968116117012,"[-0.015338354853782963, 0.03424968116117012]",0.42337181812256464,0.42337181812256464
Time in bed (weekend),2,3,Moderate,Severe,3201,2535,3901616.5,-0.038363504501490224,-0.038363504501490224,-0.07244526026445139,-0.0008991950863481685,"[-0.07244526026445139, -0.0008991950863481685]",0.011138650514826149,0.022277301029652297
